,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
87,-0.1531,0.127,0.1,0.773,The New York Times,"RT @karenyourish: (Jan.) Cohen: Trump denies affair
↓
(Feb.) Cohen: Ok, I paid Stormy
↓
(April) Trump: I didn’t know about payment
↓
(Tuesd…",Tue Aug 21 23:21:03 +0000 2018
88,0.0,0.0,0.0,1.0,The New York Times,"Michael Cohen's plea came shortly before another blow to President Trump: his former campaign manager, Paul Manafor… https://t.co/LKedIWImpV",Tue Aug 21 23:09:18 +0000 2018
89,-0.5267,0.246,0.119,0.634,The New York Times,Michael Cohen also pleaded guilty to multiple counts of tax evasion and bank fraud. Here's the plea agreement betwe… https://t.co/m3G5DMe9E1,Tue Aug 21 23:02:33 +0000 2018
90,0.0,0.0,0.0,1.0,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/7yZNr6JgMB,Tue Aug 21 22:47:01 +0000 2018
91,0.0,0.0,0.0,1.0,The New York Times,Here’s everything Trump’s team has said about the payment to Stormy Daniels https://t.co/xu8KIYsBP0,Tue Aug 21 22:32:06 +0000 2018
92,0.6249,0.0,0.203,0.797,The New York Times,"RT @katierogers: ""One collateral effect of Mr. Cohen’s plea agreement is that it may allow Michael Avenatti, Ms. Clifford’s lawyer, to proc…",Tue Aug 21 22:17:03 +0000 2018
93,0.0,0.0,0.0,1.0,The New York Times,Michael Cohen made the admission about President Trump’s role in the payments to an adult film actress and a former… https://t.co/ww2qUXJYHV,Tue Aug 21 22:02:00 +0000 2018
94,0.0,0.0,0.0,1.0,The New York Times,"RT @peterbakernyt: Cohen says he paid off Stormy Daniels ""at the direction of the candidate,” meaning Trump. ⁦@WRashbaum⁩ ⁦@maggieNYT⁩ ⁦@be…",Tue Aug 21 21:47:06 +0000 2018
95,0.0,0.0,0.0,1.0,The New York Times,"RT @jmartNYT: Point here being: Cohen wasn't just Trump's lawyer, handling zoning regs and such.  He was part of a tiny inner circle in yea…",Tue Aug 21 21:30:10 +0000 2018
96,0.0,0.0,0.0,1.0,The New York Times,Breaking News: Michael Cohen said in court that he paid Stormy Daniels “at the direction of” Donald Trump for the p… https://t.co/68TdyFfmt8,Tue Aug 21 21:13:02 +0000 2018
